trial,cue,digit,processor,keypress,cuetime,trialtime,sessiontime
6,4,2,test,6,3.021531700156629,12.424021600047126,188.03863759990782
6,5,4,control,3,1.4949161999393255,13.920046700164676,189.5346627999097
6,6,3,control,7,1.5988062000833452,15.519933999981731,191.13454999984242
6,7,9,test,1,3.2213490998838097,18.743911399971694,194.35852739983238
6,8,1,control,3,1.6868807999417186,20.431927300058305,196.046543299919
6,9,9,test,2,1.357324399985373,21.791988800046965,197.40660479990765
7,0,1,control,3,1.1269550998695195,1.7039246000349522,199.11055490002036
7,1,0,test,4,1.525447300169617,3.2319757998920977,200.63860619999468
7,2,9,test,5,2.981324099935591,6.215964199975133,203.62259449996054
7,3,3,control,7,1.1747838000301272,7.391918199835345,204.79854849982075
7,4,0,control,8,1.3428797000087798,8.735945799853653,206.14257609983906
7,5,8,control,6,1.7349043998401612,10.471940099960193,207.8785703999456
7,6,3,control,6,1.510946199996397,11.983994599897414,209.39062489988282
7,7,0,control,7,1.4868757999502122,13.471956899855286,210.8785871998407
7,8,3,test,0,1.7253107000142336,15.200011000037193,212.60664139990695
7,9,1,test,2,3.837322299834341,19.03993139998056,216.44656179985031
8,0,1,test,2,1.493484399979934,2.08799000014551,218.53457729984075
8,1,8,control,7,1.2069428998511285,3.296012500068173,219.74259999999776
8,2,6,test,6,4.957502099918202,8.256031900178641,224.7026193998754
8,3,5,test,9,2.5893689999356866,10.848020000150427,227.2946074998472
8,4,7,control,7,1.302903699921444,12.151998500106856,228.59858589991927
8,5,4,test,4,2.389332599937916,14.543991000158712,230.99057859997265
8,6,3,control,7,1.254933499963954,15.800015300046653,232.24660399998538
8,7,7,test,3,1.3333583001513034,17.13597430009395,233.58256180002354
8,8,8,control,8,1.158932900056243,18.295991300139576,234.742578699952
8,9,9,control,9,1.11098080012016,19.408040800131857,235.85462819994427
9,0,4,test,5,6.141658399952576,6.631907399976626,242.4865619998891
9,1,1,control,3,1.4068560998421162,8.03990969993174,243.89456449984573
9,2,0,test,2,2.5973426001146436,10.639909700024873,246.49456449993886
9,3,1,control,3,2.9269111999310553,13.567901300033554,249.42255589994602
9,4,5,test,7,5.021361400140449,18.591958099976182,254.44661289989017
9,5,0,control,7,1.7348623001016676,20.327883099904284,256.18253769981675
9,6,1,control,3,1.3029589999932796,21.631920400075614,257.4865749999881
9,7,4,test,0,1.4053644000086933,23.039915499975905,258.8945702998899
9,8,0,control,8,1.4549080000724643,24.495948900002986,260.35060349991545
9,9,3,control,7,1.2468675998970866,25.743953600060195,261.5986083999742
